"ID","id_10m","lon_10m_point","lat_10m_point","INT_50","Hyperlink","Section","Assessed"
0,1,145.767724564597,-16.8648400781466,"","=HYPERLINK(""Frames_for_Analysis/1_20250730_0002_R_0373.jpg"",""1_20250730_0002_R_0373.jpg"")","",""
1,2,145.767636783331,-16.8648583402176,"","=HYPERLINK(""Frames_for_Analysis/2_20250730_0002_R_0366.jpg"",""2_20250730_0002_R_0366.jpg"")","",""
2,3,145.767549002065,-16.8648766022867,"","=HYPERLINK(""Frames_for_Analysis/3_20250730_0002_R_0361.jpg"",""3_20250730_0002_R_0361.jpg"")","",""
3,4,145.767469309131,-16.864915484113,"","=HYPERLINK(""Frames_for_Analysis/4_20250730_0002_R_0356.jpg"",""4_20250730_0002_R_0356.jpg"")","",""
4,5,145.767390654676,-16.8649570133489,"50","=HYPERLINK(""Frames_for_Analysis/5_20250730_0002_R_0353.jpg"",""5_20250730_0002_R_0353.jpg"")","",""
5,6,145.767312000221,-16.8649985425756,"","=HYPERLINK(""Frames_for_Analysis/6_20250730_0002_R_0349.jpg"",""6_20250730_0002_R_0349.jpg"")","",""
6,7,145.767233345767,-16.8650400717933,"","=HYPERLINK(""Frames_for_Analysis/7_20250730_0002_R_0345.jpg"",""7_20250730_0002_R_0345.jpg"")","",""
7,8,145.767157169391,-16.8650854175759,"","=HYPERLINK(""Frames_for_Analysis/8_20250730_0002_R_0342.jpg"",""8_20250730_0002_R_0342.jpg"")","",""
8,9,145.76708342614,-16.865134510685,"","=HYPERLINK(""Frames_for_Analysis/9_20250730_0002_R_0338.jpg"",""9_20250730_0002_R_0338.jpg"")","",""
9,10,145.767009682889,-16.8651836037814,"50","=HYPERLINK(""Frames_for_Analysis/10_20250730_0002_R_0335.jpg"",""10_20250730_0002_R_0335.jpg"")","",""
10,11,145.766935939638,-16.865232696865,"","=HYPERLINK(""Frames_for_Analysis/11_20250730_0002_R_0331.jpg"",""11_20250730_0002_R_0331.jpg"")","",""
11,12,145.766859327381,-16.8652775135141,"","=HYPERLINK(""Frames_for_Analysis/12_20250730_0002_R_0328.jpg"",""12_20250730_0002_R_0328.jpg"")","",""
12,13,145.766781989079,-16.8653212479385,"","=HYPERLINK(""Frames_for_Analysis/13_20250730_0002_R_0324.jpg"",""13_20250730_0002_R_0324.jpg"")","",""
13,14,145.766704650777,-16.8653649823528,"","=HYPERLINK(""Frames_for_Analysis/14_20250730_0002_R_0321.jpg"",""14_20250730_0002_R_0321.jpg"")","",""
14,15,145.766659598462,-16.8654263476871,"50","=HYPERLINK(""Frames_for_Analysis/15_20250730_0002_R_0317.jpg"",""15_20250730_0002_R_0317.jpg"")","",""
15,16,145.766678573603,-16.8655064104262,"","=HYPERLINK(""Frames_for_Analysis/16_20250730_0002_R_0316.jpg"",""16_20250730_0002_R_0316.jpg"")","",""
16,17,145.76673140997,-16.8655759356182,"","=HYPERLINK(""Frames_for_Analysis/17_20250730_0002_R_0315.jpg"",""17_20250730_0002_R_0315.jpg"")","",""
17,18,145.766712247037,-16.8656323783755,"","=HYPERLINK(""Frames_for_Analysis/18_20250730_0002_R_0313.jpg"",""18_20250730_0002_R_0313.jpg"")","",""
18,19,145.766636459664,-16.8656785323503,"","=HYPERLINK(""Frames_for_Analysis/19_20250730_0002_R_0311.jpg"",""19_20250730_0002_R_0311.jpg"")","",""
19,20,145.766555849945,-16.8657162300872,"50","=HYPERLINK(""Frames_for_Analysis/20_20250730_0002_R_0308.jpg"",""20_20250730_0002_R_0308.jpg"")","",""
20,21,145.766474286567,-16.865752255528,"","=HYPERLINK(""Frames_for_Analysis/21_20250730_0002_R_0306.jpg"",""21_20250730_0002_R_0306.jpg"")","",""
21,22,145.766386957276,-16.865771933918,"","=HYPERLINK(""Frames_for_Analysis/22_20250730_0002_R_0303.jpg"",""22_20250730_0002_R_0303.jpg"")","",""
22,23,145.766299264906,-16.8657905829378,"","=HYPERLINK(""Frames_for_Analysis/23_20250730_0002_R_0300.jpg"",""23_20250730_0002_R_0300.jpg"")","",""
23,24,145.766211572537,-16.8658092319557,"","=HYPERLINK(""Frames_for_Analysis/24_20250730_0002_R_0297.jpg"",""24_20250730_0002_R_0297.jpg"")","",""
24,25,145.76612327746,-16.8658226266129,"50","=HYPERLINK(""Frames_for_Analysis/25_20250730_0002_R_0295.jpg"",""25_20250730_0002_R_0295.jpg"")","",""
25,26,145.766033445932,-16.8658226266129,"","=HYPERLINK(""Frames_for_Analysis/26_20250730_0002_R_0292.jpg"",""26_20250730_0002_R_0292.jpg"")","",""
26,27,145.765943618473,-16.8658227747352,"","=HYPERLINK(""Frames_for_Analysis/27_20250730_0002_R_0288.jpg"",""27_20250730_0002_R_0288.jpg"")","",""
27,28,145.765853911108,-16.8658272930999,"","=HYPERLINK(""Frames_for_Analysis/28_20250730_0002_R_0282.jpg"",""28_20250730_0002_R_0282.jpg"")","",""
28,29,145.765764203743,-16.8658318114644,"","=HYPERLINK(""Frames_for_Analysis/29_20250730_0002_R_0275.jpg"",""29_20250730_0002_R_0275.jpg"")","",""
29,30,145.765674461859,-16.865835581952,"50","=HYPERLINK(""Frames_for_Analysis/30_20250730_0002_R_0270.jpg"",""30_20250730_0002_R_0270.jpg"")","",""
30,31,145.765584687566,-16.8658386502669,"","=HYPERLINK(""Frames_for_Analysis/31_20250730_0002_R_0266.jpg"",""31_20250730_0002_R_0266.jpg"")","",""
31,32,145.765494913274,-16.8658417185818,"","=HYPERLINK(""Frames_for_Analysis/32_20250730_0002_R_0262.jpg"",""32_20250730_0002_R_0262.jpg"")","",""
32,33,145.765405138981,-16.8658447868965,"","=HYPERLINK(""Frames_for_Analysis/33_20250730_0002_R_0259.jpg"",""33_20250730_0002_R_0259.jpg"")","",""
33,34,145.765317711851,-16.8658630765813,"","=HYPERLINK(""Frames_for_Analysis/34_20250730_0002_R_0256.jpg"",""34_20250730_0002_R_0256.jpg"")","",""
34,35,145.765230838079,-16.8658849547943,"50","=HYPERLINK(""Frames_for_Analysis/35_20250730_0002_R_0253.jpg"",""35_20250730_0002_R_0253.jpg"")","",""
35,36,145.765143826215,-16.8659062977617,"","=HYPERLINK(""Frames_for_Analysis/36_20250730_0002_R_0250.jpg"",""36_20250730_0002_R_0250.jpg"")","",""
36,37,145.765056295169,-16.8659256284028,"","=HYPERLINK(""Frames_for_Analysis/37_20250730_0002_R_0246.jpg"",""37_20250730_0002_R_0246.jpg"")","",""
37,38,145.764967769709,-16.8659348842499,"","=HYPERLINK(""Frames_for_Analysis/38_20250730_0002_R_0242.jpg"",""38_20250730_0002_R_0242.jpg"")","",""
38,39,145.764878004551,-16.865931580245,"","=HYPERLINK(""Frames_for_Analysis/39_20250730_0002_R_0239.jpg"",""39_20250730_0002_R_0239.jpg"")","",""
39,40,145.764788239392,-16.86592827624,"50","=HYPERLINK(""Frames_for_Analysis/40_20250730_0002_R_0236.jpg"",""40_20250730_0002_R_0236.jpg"")","",""
40,41,145.764698475669,-16.8659249538439,"","=HYPERLINK(""Frames_for_Analysis/41_20250730_0002_R_0233.jpg"",""41_20250730_0002_R_0233.jpg"")","",""
41,42,145.764609193577,-16.8659154602965,"","=HYPERLINK(""Frames_for_Analysis/42_20250730_0002_R_0230.jpg"",""42_20250730_0002_R_0230.jpg"")","",""
